area_type,area,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20
state,Johor,1.0,1.0,-0.15387700783925495,0.5512189179656248,0.57259295030387,-0.3463427191777062,0.4467520884620224,-0.1510347830110157,-0.6898556343518705,0.03626941307041731,1.0,0.7011442672497037,-1.0,0.19948587251230454,-0.060230065713117065,-0.7835952059827243,1.0,-0.6310485992227456,0.8134677819276297,-0.12374821668220648
state,Kedah,-0.6871455518306128,-0.14180544231819758,-0.01827605957072398,-0.6763009439129557,-0.9032384024591228,-0.6177036106769243,-0.24637139928090135,0.2582776814882115,-0.8859334662117527,1.0,-0.08225829508597216,-0.5319934473736445,-0.9434365092456078,0.4462774539867793,-0.8925769709800242,0.8174522351179259,0.02805462460175767,1.0,-0.16207285137493954,0.17663881160990247
state,Kelantan,-1.0,0.13414163376490285,-0.24956565806505837,-0.9775419292552078,-0.1058560676939787,0.04870282948974025,1.0,0.10503004456129217,-1.0,0.46196470050115335,0.0857019443926581,0.813155137603955,-0.2555304972385698,0.6814889155042794,-0.18967658982378355,0.502601851011597,-1.0,-0.5401116021156411,-0.6799536890617726,0.19040335598645353
state,Melaka,0.1448203732475224,-0.7515109900206463,-0.22691251376857968,0.08046239728911586,0.6545118525625861,0.22016336666501557,-0.11504816927094985,-0.08239544526508868,1.0,-1.0,-0.6349497524330495,1.0,0.11287694849496943,0.13030558332633824,0.265745402249826,0.3696310913178815,-0.09208750225737272,0.11704928083422472,-0.45869385427581433,0.19725327492036127
state,Negeri Sembilan,-0.5709352905693268,-0.5464377187049327,-1.0,-0.6378082868214474,-1.0,-0.7009944029244124,-0.3678542946174935,-0.8657731624825848,0.5490863056238959,0.45573423641098976,0.2309107769258416,0.3327485780415256,-0.9184485809657046,0.09851020136770305,-1.0,0.09086516696911917,0.11889817788169754,-0.35696913234550287,-1.0,0.8614805919802215
state,Pahang,0.3519228947946593,-1.0,0.41227748005541587,-1.0,0.22667765779145888,0.8889019127892053,0.2666719976309815,0.3403647095655524,0.3271342547978382,0.6091677794476982,0.1390529389397832,0.5083136124555192,0.4863927446999128,-0.017801799051889167,0.19519306906251055,-0.269492134570671,-0.04441909268862687,-0.3303105903703807,0.8508528625586029,-1.0
state,Pulau Pinang,0.41171057013539425,-0.051384771744334645,0.3579638423637277,-0.10025852275841707,-0.28554739733801604,0.644530005639228,-0.46604504810707803,-1.0,-0.9236393602824535,0.24763684507163752,-0.881844733374501,0.23880019063911262,0.5262359135393855,0.21145380368158317,0.7343165891718508,-1.0,-0.4247877636473214,0.3987695690362585,-0.7779952065675186,0.5332766199471954
state,Perak,-0.1674258294923877,-0.5828886866392873,0.14275394908348504,-0.4610917221981661,0.7098438755654373,0.9066079147241439,-0.0006959887353108485,0.4824978630996015,-0.13884650694325862,-0.446919512445065,-0.11943463651594355,0.5474013910778284,0.16744963815596758,-1.0,-0.652072163672316,1.0,0.20898664060236238,-0.24051850567050737,1.0,0.1153744206623546
state,Perlis,-0.2130940933471719,0.2522209038566674,0.15802146747419266,1.0,0.2562829686536463,-0.0022207931746486276,-0.510434566195431,0.01394871859487723,0.8948370975442783,0.2794194935474503,-0.9093421630881104,0.36346643581676097,-0.3056031685453534,-0.5040227890851354,-0.26530876628015365,-0.7899938137591271,0.28275111002016784,0.043432108583925766,0.03930405209895649,0.3572176738523667
state,Selangor,-0.42884336678201385,-0.6695482126972684,-0.9056867070981247,-0.01805616825979872,0.792545941017895,0.41097245124935333,0.6294867381842462,-0.7900412663669081,-0.1823629817751914,-0.2464584209338282,-1.0,0.5108632766856596,0.7516310617914295,0.7987421121691394,0.5022571098934432,-0.5350597476745819,-0.19635182184654154,-0.5038307255790653,-0.8085250721900381,1.0
